Distribution|Votes|Rank|Title|Year
0000001222|272063|8.1|The Princess Bride |1987
0000001321|98977|8.1|In the Name of the Father |1993
0000001321|160551|8.1|Amores perros |2000
0000001321|400696|8.1|The Grand Budapest Hotel |2014
0000001222|175849|8.1|Annie Hall |1977
0000001321|440940|8.1|Million Dollar Baby |2004
0000001222|146408|8.1|Ben-Hur |1959
0000001222|57674|8.1|The Grapes of Wrath |1940
0000001321|701275|8.1|Shutter Island |2010
0000001222|85739|8.1|Kaze no tani no Naushika |1984
0000001222|130918|8.1|Hachi: A Dog's Tale |2009
0000001221|38403|8.1|Les diaboliques |1955
0000001321|59759|8.1|Relatos salvajes |2014
0000001113|61723|8.1|Stalker |1979
0000001321|157267|8.1|Gandhi |1982
0000001222|614774|8.1|Sin City |2005
0000001222|37136|8.1|The Best Years of Our Lives |1946
0000001212|267922|8.1|The Wizard of Oz |1939
0000001321|448366|8.0|The Bourne Ultimatum |2007
0000001321|545492|8.0|Jurassic Park |1993
0000001222|538248|8.0|Donnie Darko |2001
0000001213|72336|8.0|8½ |1963
0000001321|88002|8.0|Strangers on a Train |1951
0000001222|165360|8.0|Before Sunrise |1995
0000001321|428605|8.0|Twelve Monkeys |1995
0000001321|547954|8.0|The Terminator |1984
0000001222|896428|8.0|The Avengers |2012
0000001222|85040|8.0|Mou gaan dou |2002
0000001321|398222|8.0|Groundhog Day |1993
0000001211|377550|8.0|Jaws |1975
0000001321|524390|8.0|Monsters, Inc. |2001
0000001222|33635|8.0|La battaglia di Algeri |1966
0000001321|57753|8.0|Salinui chueok |2003
0000001321|606008|8.0|The Truman Show |1998
0000001222|486766|8.0|Harry Potter and the Deathly Hallows: Part 2 |2011
0000001222|92915|8.0|Barry Lyndon |1975
0000001212|39407|8.0|Fanny och Alexander |1982
0000001222|27620|8.0|Kumonosu-jô |1957
0000001321|169556|8.0|Dog Day Afternoon |1975
0000001321|331609|8.0|Rocky |1976
0000001222|569584|8.0|Guardians of the Galaxy |2014
0000001321|94122|8.0|La haine |1995
0000001321|145076|8.0|Yip Man |2008
0000001221|74185|8.0|High Noon |1952
0000001321|454097|8.0|The King's Speech |2010
